Date et heure;Production totale;Consommation totale;Auto-consommation;Energie inject�e dans le r�seau;Energie provenant du r�seau
[dd.MM.yyyy];[Wh];[Wh];[Wh];[Wh];[Wh]
01.04.2021;19902.5839;833.5839;702.5839;19200.0;131.0
02.04.2021;18395.4747;443.4747;313.4747;18082.0;130.0
03.04.2021;17566.9739;416.9739;287.9739;17279.0;129.0
04.04.2021;16869.1872;416.1872;285.1872;16584.0;131.0
05.04.2021;19041.9261;3462.9261;3333.9261;15708.0;129.0
06.04.2021;15524.7936;559.7936;431.7936;15093.0;128.0
07.04.2021;15709.0728;1203.0728;1075.0728;14634.0;128.0
08.04.2021;9194.1814;365.1814;236.1814;8958.0;129.0
09.04.2021;15847.8642;519.8642;391.8642;15456.0;128.0
10.04.2021;19857.8794;452.8794;326.8794;19531.0;126.0
11.04.2021;19522.7969;435.7969;318.7969;19204.0;117.0
12.04.2021;19498.1781;456.1781;330.1781;19168.0;126.0
13.04.2021;16898.7483;422.7483;294.7483;16604.0;128.0
14.04.2021;8323.4447;348.4447;213.4447;8110.0;135.0
15.04.2021;20359.9867;537.9867;408.9867;19951.0;129.0
16.04.2021;19268.1172;510.1172;386.1172;18882.0;124.0
17.04.2021;20429.7589;456.7589;333.7589;20096.0;123.0
18.04.2021;20856.8842;445.8842;321.8842;20535.0;124.0
19.04.2021;20209.4742;534.4742;412.4742;19797.0;122.0
20.04.2021;19570.2056;514.2056;390.2056;19180.0;124.0
21.04.2021;16318.1831;480.1831;358.1831;15960.0;122.0
22.04.2021;19897.9778;848.9778;723.9778;19174.0;125.0
23.04.2021;17441.3478;421.3478;298.3478;17143.0;123.0
24.04.2021;15164.7517;404.7517;282.7517;14882.0;122.0
25.04.2021;20122.5447;439.5447;329.5447;19793.0;110.0
26.04.2021;13011.5239;2073.5239;1939.5239;11072.0;134.0
27.04.2021;17637.7981;440.7981;319.7981;17318.0;121.0
28.04.2021;16713.1061;424.1061;303.1061;16410.0;121.0
29.04.2021;16831.6194;530.6194;407.6194;16424.0;123.0
30.04.2021;9930.9753;361.9753;236.9753;9694.0;125.0
01.05.2021;16105.9106;1296.9106;848.9106;15257.0;448.0
02.05.2021;21733.7139;2245.7139;1263.7139;20470.0;982.0
03.05.2021;17590.4131;1903.4131;1251.4131;16339.0;652.0
04.05.2021;20970.6219;510.6219;390.6219;20580.0;120.0
05.05.2021;18914.5497;575.5497;433.5497;18481.0;142.0
06.05.2021;21239.4667;547.4667;394.4667;20845.0;153.0
07.05.2021;21043.8489;476.8489;356.8489;20687.0;120.0
08.05.2021;16940.9394;406.9394;281.9394;16659.0;125.0
09.05.2021;18185.1531;426.1531;301.1531;17884.0;125.0
10.05.2021;20016.1983;479.1983;362.1983;19654.0;117.0
11.05.2021;18539.6994;447.6994;329.6994;18210.0;118.0
12.05.2021;21556.5767;499.5767;380.5767;21176.0;119.0
13.05.2021;21296.4872;442.4872;325.4872;20971.0;117.0
14.05.2021;20958.1282;452.1282;333.1282;20625.0;119.0
15.05.2021;20055.0153;441.0153;325.0153;19730.0;116.0
16.05.2021;20705.7425;458.7425;333.7425;20372.0;125.0
17.05.2021;16346.5269;773.5269;656.5269;15690.0;117.0
18.05.2021;21108.8289;477.8289;361.8289;20747.0;116.0
19.05.2021;21346.8994;479.8994;364.8994;20982.0;115.0
20.05.2021;20973.3744;3100.3744;2985.3744;17988.0;115.0
21.05.2021;17634.8947;484.8947;366.8947;17268.0;118.0
22.05.2021;14632.1028;384.1028;269.1028;14363.0;115.0
23.05.2021;18269.9261;427.9261;310.9261;17959.0;117.0
24.05.2021;19578.9917;1752.9917;1638.9917;17940.0;114.0
25.05.2021;19758.4831;491.4831;378.4831;19380.0;113.0
26.05.2021;13530.0933;405.0933;289.0933;13241.0;116.0
27.05.2021;18134.9572;515.9572;399.9572;17735.0;116.0
28.05.2021;18301.1308;492.1308;377.1308;17924.0;115.0
29.05.2021;18668.1617;437.1617;321.1617;18347.0;116.0
30.05.2021;6172.1394;340.1394;220.1394;5952.0;120.0
31.05.2021;11104.0650;1072.0650;950.0650;10154.0;122.0
01.06.2021;18735.9689;481.9689;365.9689;18370.0;116.0
02.06.2021;19099.8611;494.8611;380.8611;18719.0;114.0
03.06.2021;18670.2219;496.2219;382.2219;18288.0;114.0
04.06.2021;17061.0414;488.0414;371.0414;16690.0;117.0
05.06.2021;20892.6639;459.6639;346.6639;20546.0;113.0
06.06.2021;19817.9036;439.9036;325.9036;19492.0;114.0
07.06.2021;18138.8361;493.8361;379.8361;17759.0;114.0
08.06.2021;14247.0556;502.0556;385.0556;13862.0;117.0
09.06.2021;19767.2783;520.2783;402.2783;19365.0;118.0
10.06.2021;19397.2411;470.2411;357.2411;19040.0;113.0
11.06.2021;15508.2186;418.2186;300.2186;15208.0;118.0
12.06.2021;17594.1692;423.1692;307.1692;17287.0;116.0
13.06.2021;15096.7056;409.7056;296.7056;14800.0;113.0
14.06.2021;16311.1639;427.1639;312.1639;15999.0;115.0
15.06.2021;13127.2581;479.2581;366.2581;12761.0;113.0
16.06.2021;15017.2823;415.2823;300.2823;14717.0;115.0
17.06.2021;14995.0736;419.0736;300.0736;14695.0;119.0
18.06.2021;14608.9125;413.9125;298.9125;14310.0;115.0
19.06.2021;18995.5244;437.5244;317.5244;18678.0;120.0
20.06.2021;20507.3258;451.3258;339.3258;20168.0;112.0
21.06.2021;19456.19;453.19;336.19;19120.0;117.0
22.06.2021;20151.1903;476.1903;364.1903;19787.0;112.0
23.06.2021;21305.7817;486.7817;376.7817;20929.0;110.0
24.06.2021;20506.09;549.09;437.09;20069.0;112.0
25.06.2021;20075.85;475.85;361.85;19714.0;114.0
26.06.2021;20912.9741;461.9741;345.9741;20567.0;116.0
27.06.2021;19589.9258;438.9258;325.9258;19264.0;113.0
28.06.2021;19868.4878;492.4878;380.4878;19488.0;112.0
29.06.2021;20844.6097;519.6097;406.6097;20438.0;113.0
30.06.2021;20548.4356;523.4356;411.4356;20137.0;112.0
01.07.2021;20041.3619;750.3619;639.3619;19402.0;111.0
02.07.2021;20400.1611;477.1611;363.1611;20037.0;114.0
03.07.2021;19119.2928;447.2928;333.2928;18786.0;114.0
04.07.2021;19761.2792;427.2792;312.2792;19449.0;115.0
05.07.2021;20093.0486;482.0486;369.0486;19724.0;113.0
06.07.2021;17605.78;495.78;379.78;17226.0;116.0
07.07.2021;19686.76;533.76;419.76;19267.0;114.0
08.07.2021;20663.4653;482.4653;369.4653;20294.0;113.0
09.07.2021;19715.9236;469.9236;354.9236;19361.0;115.0
10.07.2021;18986.1214;455.1214;340.1214;18646.0;115.0
11.07.2021;13070.65;393.65;277.65;12793.0;116.0
12.07.2021;14914.4586;457.4586;341.4586;14573.0;116.0
13.07.2021;19612.1722;526.1722;413.1722;19199.0;113.0
14.07.2021;20444.4339;1371.4339;1256.4339;19188.0;115.0
15.07.2021;19525.5372;582.5372;466.5372;19059.0;116.0
16.07.2021;19183.0439;550.0439;431.0439;18752.0;119.0
17.07.2021;18893.1022;468.1022;345.1022;18548.0;123.0
18.07.2021;19856.9928;469.9928;349.9928;19507.0;120.0
19.07.2021;20205.0092;510.0092;388.0092;19817.0;122.0
20.07.2021;19731.1906;480.1906;358.1906;19373.0;122.0
21.07.2021;19247.4956;464.4956;340.4956;18907.0;124.0
22.07.2021;18823.9347;455.9347;333.9347;18490.0;122.0
23.07.2021;19394.3006;464.3006;342.3006;19052.0;122.0
24.07.2021;18066.2333;458.2333;333.2333;17733.0;125.0
25.07.2021;19407.3142;471.3142;348.3142;19059.0;123.0
26.07.2021;18267.9378;483.9378;356.9378;17911.0;127.0
27.07.2021;20083.2492;493.2492;371.2492;19712.0;122.0
28.07.2021;19302.7369;486.7369;363.7369;18939.0;123.0
29.07.2021;18844.3514;485.3514;361.3514;18483.0;124.0
30.07.2021;18016.2836;445.2836;317.2836;17699.0;128.0
31.07.2021;17480.4931;458.4931;333.4931;17147.0;125.0
01.08.2021;19033.2931;469.2931;343.2931;18690.0;126.0
02.08.2021;19654.8036;490.8036;366.8036;19288.0;124.0
03.08.2021;19798.4981;522.4981;396.4981;19402.0;126.0
04.08.2021;19795.5253;474.5253;349.5253;19446.0;125.0
05.08.2021;18755.1711;473.1711;348.1711;18407.0;125.0
06.08.2021;19374.9106;476.9106;351.9106;19023.0;125.0
07.08.2021;15707.8383;426.8383;299.8383;15408.0;127.0
08.08.2021;20095.6075;479.6075;352.6075;19743.0;127.0
09.08.2021;18291.4469;457.4469;330.4469;17961.0;127.0
10.08.2021;17756.6525;446.6525;316.6525;17440.0;130.0
11.08.2021;17438.8531;461.8531;334.8531;17104.0;127.0
12.08.2021;18176.4478;460.4478;329.4478;17847.0;131.0
13.08.2021;16853.6175;695.6175;562.6175;16291.0;133.0
14.08.2021;18210.3375;453.3375;324.3375;17886.0;129.0
15.08.2021;17160.2644;447.2644;314.2644;16846.0;133.0
16.08.2021;18630.0011;470.0011;340.0011;18290.0;130.0
17.08.2021;19108.8425;472.8425;342.8425;18766.0;130.0
18.08.2021;19232.8950;610.8950;341.8950;18891.0;269.0
19.08.2021;18333.0444;461.0444;329.0444;18004.0;132.0
20.08.2021;19017.5328;455.5328;324.5328;18693.0;131.0
21.08.2021;15402.9675;432.9675;294.9675;15108.0;138.0
22.08.2021;18463.0856;458.0856;326.0856;18137.0;132.0
23.08.2021;16961.8542;447.8542;314.8542;16647.0;133.0
24.08.2021;12064.6328;404.6328;266.6328;11798.0;138.0
25.08.2021;18909.5297;477.5297;344.5297;18565.0;133.0
26.08.2021;16621.7964;448.7964;314.7964;16307.0;134.0
27.08.2021;11628.6689;397.6689;259.6689;11369.0;138.0
28.08.2021;18843.2031;469.2031;335.2031;18508.0;134.0
29.08.2021;16441.1444;443.1444;306.1444;16135.0;137.0
30.08.2021;19644.3047;472.3047;338.3047;19306.0;134.0
31.08.2021;17794.8044;464.8044;326.8044;17468.0;138.0
01.09.2021;19020.2111;483.2111;346.2111;18674.0;137.0
02.09.2021;19179.5450;489.5450;354.5450;18825.0;135.0
03.09.2021;16754.9933;452.9933;312.9933;16442.0;140.0
04.09.2021;19695.4136;465.4136;327.4136;19368.0;138.0
05.09.2021;18259.3064;450.3064;312.3064;17947.0;138.0
06.09.2021;18293.6486;510.6486;373.6486;17920.0;137.0
07.09.2021;15434.3072;438.3072;308.3072;15126.0;130.0
08.09.2021;17002.4394;456.4394;324.4394;16678.0;132.0
09.09.2021;17648.5928;460.5928;328.5928;17320.0;132.0
